FirstName;LastName;Team;Webpage;Img;Number;Position;Shoots;Height;Weight;Birthdate;Hometown
Pierre-Edouard;Bellemare;Avalanche;https://www.nhl.com/player/pierre-edouard-bellemare-8477930;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477930.jpg;41;C;L;"6'0""";198;03/06/85;Le Blanc-Mesnil, FRA
Shane;Bowers;Avalanche;https://www.nhl.com/player/shane-bowers-8480032;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480032.jpg;14;C;L;"6'2""";186;07/30/99;Halifax, NS, CAN
Andre;Burakovsky;Avalanche;https://www.nhl.com/player/andre-burakovsky-8477444;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477444.jpg;95;LW;L;"6'3""";201;02/09/95;Klagenfurt, AUT
Matt;Calvert;Avalanche;https://www.nhl.com/player/matt-calvert-8474685;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474685.jpg;11;LW;L;"5'11""";186;12/24/89;Brandon, MB, CAN
J.T.;Compher;Avalanche;https://www.nhl.com/player/j-t-compher-8477456;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477456.jpg;37;LW;R;"6'0""";190;04/08/95;Northbrook, IL, USA
Joonas;Donskoi;Avalanche;https://www.nhl.com/player/joonas-donskoi-8475820;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475820.jpg;72;RW;R;"6'0""";190;04/13/92;Raahe, FIN
Sheldon;Dries;Avalanche;https://www.nhl.com/player/sheldon-dries-8480326;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480326.jpg;15;C;L;"5'9""";180;04/23/94;Macomb, MI, USA
Tyson;Jost;Avalanche;https://www.nhl.com/player/tyson-jost-8479370;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479370.jpg;17;C;L;"5'11""";187;03/14/98;St. Albert, AB, CAN
Nazem;Kadri;Avalanche;https://www.nhl.com/player/nazem-kadri-8475172;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475172.jpg;91;C;L;"6'0""";192;10/06/90;London, ON, CAN
Gabriel;Landeskog;Avalanche;https://www.nhl.com/player/gabriel-landeskog-8476455;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476455.jpg;92;LW;L;"6'1""";215;11/23/92;Stockholm, SWE
Nathan;MacKinnon;Avalanche;https://www.nhl.com/player/nathan-mackinnon-8477492;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477492.jpg;29;C;R;"6'0""";200;09/01/95;Halifax, NS, CAN
Vladislav;Namestnikov;Avalanche;https://www.nhl.com/player/vladislav-namestnikov-8476480;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476480.jpg;90;C;L;"6'0""";183;11/22/92;Zhukovskiy, RUS
Valeri;Nichushkin;Avalanche;https://www.nhl.com/player/valeri-nichushkin-8477501;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477501.jpg;13;RW;L;"6'4""";210;03/04/95;Chelyabinsk, RUS
Matt;Nieto;Avalanche;https://www.nhl.com/player/matt-nieto-8476442;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476442.jpg;83;LW;L;"5'11""";185;11/05/92;Long Beach, CA, USA
